utg000001l_p25.C2	2696041	2696130	+	BJEIHDPM_02427
utg000001l_p25.C2	2696309	2698240	-	BJEIHDPM_02428
utg000001l_p25.C2	2698353	2698595	-	BJEIHDPM_02429
utg000001l_p25.C2	2698642	2698824	-	BJEIHDPM_02430
utg000001l_p25.C2	2698913	2699170	-	BJEIHDPM_02431
utg000001l_p25.C2	2699319	2699930	-	BJEIHDPM_02432
utg000001l_p25.C2	2700106	2700543	+	BJEIHDPM_02433
utg000001l_p25.C2	2700848	2701237	+	BJEIHDPM_02434
utg000001l_p25.C2	2701218	2701556	+	BJEIHDPM_02435
utg000001l_p25.C2	2701643	2702233	+	BJEIHDPM_02436
utg000001l_p25.C2	2702230	2702415	+	BJEIHDPM_02437
utg000001l_p25.C2	2702434	2703930	+	BJEIHDPM_02438
utg000001l_p25.C2	2703998	2704345	+	BJEIHDPM_02439
utg000001l_p25.C2	2704342	2704638	+	BJEIHDPM_02440
utg000001l_p25.C2	2704769	2707297	+	BJEIHDPM_02441
utg000001l_p25.C2	2707294	2708787	+	BJEIHDPM_02442
utg000001l_p25.C2	2708791	2709897	+	BJEIHDPM_02443
utg000001l_p25.C2	2709894	2710403	+	BJEIHDPM_02444
utg000001l_p25.C2	2710403	2710801	+	BJEIHDPM_02445
utg000001l_p25.C2	2710791	2711831	+	BJEIHDPM_02446
utg000001l_p25.C2	2711819	2712418	+	BJEIHDPM_02447
utg000001l_p25.C2	2712429	2714231	+	BJEIHDPM_02448
utg000001l_p25.C2	2714242	2714754	+	BJEIHDPM_02449
utg000001l_p25.C2	2714890	2715894	+	BJEIHDPM_02450
utg000001l_p25.C2	2715918	2716463	+	BJEIHDPM_02451
utg000001l_p25.C2	2716460	2716969	+	BJEIHDPM_02452
