p8.B3_trimHTF1803_1	WP_024658146.1	72.480	625	600	625	0.0	898
p8.B3_trimHTF1803_1	WP_032656593.1	72.508	622	600	624	0.0	885
p8.B3_trimHTF1803_1	WP_024693886.1	72.186	622	600	624	0.0	881
p8.B3_trimHTF1803_1	WP_024649699.1	66.743	436	600	510	0.0	560
p8.B3_trimHTF1803_1	WP_024649699.1	66.667	297	600	510	3.85e-136	397
p8.B3_trimHTF1803_1	WP_005768002.1	65.432	81	600	486	3.38e-27	104
p8.B3_trimHTF1803_1	WP_005896706.1	75.758	66	600	486	5.37e-27	104
p8.B3_trimHTF1803_1	WP_024639976.1	74.242	66	600	487	1.25e-26	103
p8.B3_trimHTF1803_1	WP_024674765.1	74.242	66	600	553	4.99e-26	101
p8.B3_trimHTF1803_1	WP_027901668.1	60.000	70	600	360	1.65e-20	83.2
p8.B3_trimHTF1803_1	WP_027901669.1	56.579	76	600	367	1.78e-20	83.2
p7.G11_trimHTF1830_1	WP_024658146.1	78.400	625	609	625	0.0	974
p7.G11_trimHTF1830_1	WP_024693886.1	78.331	623	609	624	0.0	952
p7.G11_trimHTF1830_1	WP_032656593.1	78.010	623	609	624	0.0	950
p7.G11_trimHTF1830_1	WP_024649699.1	67.517	431	609	510	0.0	566
p7.G11_trimHTF1830_1	WP_024649699.1	76.289	291	609	510	1.02e-159	458
p7.G11_trimHTF1830_1	WP_024649699.1	45.714	105	609	510	2.27e-19	80.9
p7.G11_trimHTF1830_1	WP_005768002.1	65.432	81	609	486	5.15e-27	104
p7.G11_trimHTF1830_1	WP_005896706.1	75.758	66	609	486	8.18e-27	103
p7.G11_trimHTF1830_1	WP_024639976.1	74.242	66	609	487	2.13e-26	102
p7.G11_trimHTF1830_1	WP_024674765.1	74.242	66	609	553	8.12e-26	101
p7.G11_trimHTF1830_1	WP_027901668.1	60.000	70	609	360	2.13e-20	82.8
p7.G11_trimHTF1830_1	WP_027901669.1	48.598	107	609	367	2.24e-20	82.8
p12.G7_trimHTF1383_1	WP_024649699.1	67.255	510	460	510	0.0	662
p12.G7_trimHTF1383_1	WP_024658146.1	76.943	386	460	625	0.0	583
p12.G7_trimHTF1383_1	WP_024658146.1	52.516	318	460	625	7.23e-99	300
p12.G7_trimHTF1383_1	WP_024693886.1	77.067	375	460	624	0.0	573
p12.G7_trimHTF1383_1	WP_024693886.1	53.795	303	460	624	3.50e-95	290
p12.G7_trimHTF1383_1	WP_032656593.1	76.267	375	460	624	0.0	568
p12.G7_trimHTF1383_1	WP_032656593.1	54.125	303	460	624	5.50e-96	293
p12.G7_trimHTF1383_1	WP_005768002.1	65.432	81	460	486	1.67e-27	104
p12.G7_trimHTF1383_1	WP_005896706.1	75.758	66	460	486	3.07e-27	103
p12.G7_trimHTF1383_1	WP_024639976.1	74.242	66	460	487	7.06e-27	102
p12.G7_trimHTF1383_1	WP_024674765.1	74.242	66	460	553	2.81e-26	101
p12.G7_trimHTF1383_1	WP_027901668.1	60.000	70	460	360	9.38e-21	83.2
p12.G7_trimHTF1383_1	WP_027901669.1	56.579	76	460	367	1.04e-20	83.2
p21.F9_trimHTF1245_1	WP_024649699.1	88.293	205	414	510	1.56e-124	361
p21.F9_trimHTF1245_1	WP_024693886.1	88.780	205	414	624	6.76e-124	363
p21.F9_trimHTF1245_1	WP_032656593.1	88.293	205	414	624	2.16e-123	362
p21.F9_trimHTF1245_1	WP_024658146.1	87.805	205	414	625	1.70e-121	357
p21.F9_trimHTF1245_1	WP_005768002.1	65.432	81	414	486	6.95e-28	105
p21.F9_trimHTF1245_1	WP_005896706.1	75.758	66	414	486	1.75e-27	103
p21.F9_trimHTF1245_1	WP_024639976.1	74.242	66	414	487	3.22e-27	103
p21.F9_trimHTF1245_1	WP_024674765.1	64.198	81	414	553	7.57e-27	102
p21.F9_trimHTF1245_1	WP_027901669.1	53.488	86	414	367	4.61e-21	83.6
p21.F9_trimHTF1245_1	WP_027901668.1	60.000	70	414	360	5.05e-21	83.6
p23.B2_trimHTF1830_1	WP_024658146.1	78.240	625	609	625	0.0	973
p23.B2_trimHTF1830_1	WP_024693886.1	78.010	623	609	624	0.0	950
p23.B2_trimHTF1830_1	WP_032656593.1	77.689	623	609	624	0.0	948
p23.B2_trimHTF1830_1	WP_024649699.1	67.285	431	609	510	0.0	565
p23.B2_trimHTF1830_1	WP_024649699.1	75.945	291	609	510	2.82e-159	457
p23.B2_trimHTF1830_1	WP_024649699.1	45.714	105	609	510	2.31e-19	80.9
p23.B2_trimHTF1830_1	WP_005768002.1	65.432	81	609	486	4.97e-27	104
p23.B2_trimHTF1830_1	WP_005896706.1	75.758	66	609	486	8.03e-27	103
p23.B2_trimHTF1830_1	WP_024639976.1	74.242	66	609	487	2.25e-26	102
p23.B2_trimHTF1830_1	WP_024674765.1	74.242	66	609	553	8.05e-26	101
p23.B2_trimHTF1830_1	WP_027901668.1	60.000	70	609	360	2.09e-20	82.8
p23.B2_trimHTF1830_1	WP_027901669.1	48.598	107	609	367	2.24e-20	82.8
p8.B9_trimHTF1803_1	WP_024658146.1	72.800	625	600	625	0.0	904
p8.B9_trimHTF1803_1	WP_032656593.1	72.186	622	600	624	0.0	881
p8.B9_trimHTF1803_1	WP_024693886.1	72.026	622	600	624	0.0	880
p8.B9_trimHTF1803_1	WP_024649699.1	68.706	425	600	510	0.0	561
p8.B9_trimHTF1803_1	WP_024649699.1	64.548	299	600	510	5.46e-131	384
p8.B9_trimHTF1803_1	WP_005768002.1	65.432	81	600	486	3.98e-27	104
p8.B9_trimHTF1803_1	WP_005896706.1	75.758	66	600	486	6.68e-27	103
p8.B9_trimHTF1803_1	WP_024639976.1	74.242	66	600	487	1.65e-26	102
p8.B9_trimHTF1803_1	WP_024674765.1	74.242	66	600	553	6.13e-26	101
p8.B9_trimHTF1803_1	WP_027901668.1	60.000	70	600	360	1.58e-20	83.2
p8.B9_trimHTF1803_1	WP_027901669.1	48.598	107	600	367	1.80e-20	83.2
p5.C1_trimHTF1245_1	WP_024649699.1	88.293	205	414	510	1.56e-124	361
